,feature,rmse_median_SAPS,rmse_25perc_SAPS,rmse_75perc_SAPS,r2_median_SAPS,r2_25perc_SAPS,r2_75perc_SAPS,r_median_SAPS,r_25perc_SAPS,r_75perc_SAPS
58,el_icoh_betw_alpha,3.1532273229716727,3.0550477645385046,3.218410396268083,-0.00047343758035589545,-0.0012006213151329326,-8.741992419691869e-05,0.0,0.0,0.0
59,el_icoh_betw_beta,3.164792057037243,3.10528524541618,3.2570086065051904,-0.0011399789439011654,-0.01593239417303205,-0.00020557961946732206,0.0,-0.04010456832651366,0.0
60,el_icoh_betw_delta,3.155167570863502,3.0550477645385046,3.2427669213004764,-0.00028396744687853026,-0.0012772500784146712,-7.514171417366544e-06,0.0,0.0,0.0
61,el_icoh_betw_gamma,3.136117778451094,3.051941295922573,3.2254932767976636,-0.0003458605276375204,-0.0013414842670608218,-3.483642981738644e-05,0.0,0.0,0.0
62,el_icoh_betw_theta,3.136117778451094,3.0535469410340563,3.245019130665769,-0.0007138616336325176,-0.001550084669691254,-8.775497341145799e-05,0.0,0.0,0.0
63,el_icoh_clus_alpha,3.168496419885052,3.0688944594570744,3.273369967667247,-0.0007252122083417634,-0.005979727255068956,-4.308411379011501e-05,0.0,0.0,0.009781702327503871
64,el_icoh_clus_beta,3.1619560019638193,3.0518645353436114,3.268551577046002,-0.000786302471459277,-0.006758995360628572,-0.0002135423158957095,0.0,-0.019448909053523363,0.0
65,el_icoh_clus_delta,3.1607836650509427,3.059237671514243,3.2658947064001187,-0.0015500846696913095,-0.020003552972678473,-0.0002321412429849845,0.0,-0.07004436304202177,0.0
66,el_icoh_clus_gamma,3.1528192271762165,3.0363873745420022,3.266268219923757,-6.784116167113385e-05,-0.013079917092844284,0.01596277396958584,0.06747126818598206,0.0,0.19897257703158666
67,el_icoh_clus_theta,3.1554716081392686,3.0518645353436114,3.245019130665769,-0.000734817563827872,-0.001562678826551922,-8.820514761542775e-05,0.0,0.0,0.0
68,el_icoh_str_alpha,3.155167570863502,3.0553367669765343,3.2462833162061053,-0.0005788753555092674,-0.002679383461632212,-3.483642981738644e-05,0.0,0.0,0.0
69,el_icoh_str_beta,3.155167570863502,3.0518502287342364,3.29043600974986,-0.0007596650408520089,-0.0061909930004130365,-9.031143924020935e-05,0.0,-0.0032459782193668477,0.0
70,el_icoh_str_delta,3.160238620503558,3.0688944594570744,3.266056378163076,-0.0014922420923036972,-0.023128886327327902,-0.0002321412429849845,0.0,-0.06708357404153517,0.0
71,el_icoh_str_gamma,3.116065287336285,2.975780872248021,3.2550118323373223,0.01226137089842183,-0.005795229960445125,0.041629861254922546,0.16247538483738733,0.016014314896853434,0.2733286822268219
72,el_icoh_str_theta,3.1462088186757105,3.0518645353436114,3.225796710298072,-0.0007252122083417634,-0.0015469952422823008,-9.04242696176949e-05,0.0,0.0,0.0
73,el_plv_betw_alpha,3.1554716081392686,3.0701637557529895,3.2623606782745083,-0.0009865696326692985,-0.010922278202170621,-9.185855055676706e-05,0.0,-0.023295584528501882,0.0
74,el_plv_betw_beta,3.136117778451094,3.0518645353436114,3.2347866326907653,-0.00045992633088942636,-0.0012606379272644408,-7.68144327737974e-05,0.0,0.0,0.0
75,el_plv_betw_delta,3.1590323250003363,3.0550477645385046,3.2445087849804946,-0.0007290527608998509,-0.0016075729980696285,-6.95593550339435e-05,0.0,0.0,0.0
76,el_plv_betw_gamma,3.1555363777832577,3.0587412882397285,3.259339665274224,-0.0008970226817834881,-0.004208492274356601,-0.0001761662394957897,0.0,-0.005227238296033802,0.0
77,el_plv_betw_theta,3.1590323250003363,3.0550477645385046,3.2570086065051904,-0.0007321494160266173,-0.0017596652794311107,-8.775497341145799e-05,0.0,-0.0642253080182389,0.0
78,el_plv_clus_alpha,3.1438623162267643,3.0535469410340563,3.245019130665769,-0.0010260267979528281,-0.003933471755189377,-9.04242696176949e-05,0.0,-0.04823378851387619,0.0
79,el_plv_clus_beta,3.148059265167661,3.0518645353436114,3.227610454185242,-0.0006925130459346507,-0.0014622909944736473,-7.68144327737974e-05,0.0,0.0,0.0
