,feature,rmse_median_SANS,rmse_25perc_SANS,rmse_75perc_SANS,r2_median_SANS,r2_25perc_SANS,r2_75perc_SANS,r_median_SANS,r_25perc_SANS,r_75perc_SANS
70,el_icoh_str_delta,5.123243217337242,4.979590020781081,5.350178410493924,-0.0013976430706716947,-0.004405575225414904,-0.0003641921784702795,0.0,0.0,0.0
71,el_icoh_str_gamma,5.125614151026231,5.020523739693067,5.361692834262738,-0.0012733001814438927,-0.005923110899790529,-0.00029016226927369715,0.0,0.0,0.0
72,el_icoh_str_theta,5.173399326991186,5.012617704600991,5.362179385546568,-0.0032692923750025082,-0.009047794692814082,-0.0006637121683740754,0.0,-0.1021278221841039,0.0
73,el_plv_betw_alpha,5.212020480110137,5.013030477586863,5.347182209842709,-0.0010413771172858022,-0.009375241994888595,0.004504335787398256,0.07701595634844075,0.0,0.14685077149615414
74,el_plv_betw_beta,5.110120413104239,5.004596945264919,5.3486288020319765,-0.0014568399095518103,-0.003958964805910514,-0.00039499474844306715,0.0,0.0,0.0
75,el_plv_betw_delta,5.145535543417283,4.979590020781081,5.369492129914638,-0.0020931166028084203,-0.007153743431293158,-0.00039499474844306715,0.0,0.0,0.0
76,el_plv_betw_gamma,5.110120413104239,4.979590020781081,5.361692834262738,-0.0015464632309761805,-0.003791021632410352,-0.00039499474844306715,0.0,0.0,0.0
77,el_plv_betw_theta,5.1952458356334414,5.029253441461212,5.404446528144746,-0.003232585945383115,-0.024668287301812364,-1.7211104896164287e-05,0.008021601233734719,0.0,0.10636827309664376
78,el_plv_clus_alpha,5.188814534472401,5.007453094263076,5.376613230887656,-0.0031507679964795088,-0.015164908509042674,-0.00022391807159521937,0.0,0.0,0.05748948410034939
79,el_plv_clus_beta,5.123243217337242,4.979590020781081,5.352232941222702,-0.0013125452736026944,-0.0033981872850975536,-0.00033123408451984915,0.0,0.0,0.0
80,el_plv_clus_delta,5.124185413437446,4.994953191256169,5.391609503957565,-0.0029344785341799406,-0.010591530927808124,-0.00040762843209196653,0.0,-0.11671144881603884,0.0
81,el_plv_clus_gamma,5.110120413104239,4.991935759066587,5.358025130273648,-0.0013125452736026944,-0.003791021632410352,-0.00033378543946827044,0.0,0.0,0.0
